uniq_id;product_name;image;category_level_1;category_level_2;category_level_3;category_level_4;category_level_5;category_level_6;category_level_7;filtered_text;split
7729e54756a60aecb2067a747c890913;Golmaalshop Showpiece  -  12.7 cm;7729e54756a60aecb2067a747c890913.jpg;Home Decor & Festive Needs ; Table Decor & Handicrafts ; Showpieces ; Religious Idols ; Golmaalshop Religious Idols;Non spécifié;Non spécifié;showpiece 12.7 online showpiece 12.7 best;train
799ddb97164ff2d5d53bb8b27b8c355f;"Indian Art Villa 2.3"" X 6.9"" X 2.3"" Handmade High Quality Stainless Steel Copper Dish Serving Indian Food Daal Curry Karahi Kadai Wok Bowl Kadhai 0.7 L";799ddb97164ff2d5d53bb8b27b8c355f.jpg;Kitchen & Dining ; Cookware ; Pots & Pans ; Woks & Kadhais ; Indian Art Villa Woks & Kadhais;Non spécifié;Non spécifié;indian art handmade high quality stainless steel copper dish serving indian food bowl kadhai rs.750 online indian art handmade high quality stainless steel copper dish serving indian food bowl kadhai best;train
4b0e6f200426b1db8824b2ca0c59ecfa;Park Avenue Believe Spray ,Four Seasons EDP Combo Set;4b0e6f200426b1db8824b2ca0c59ecfa.jpg;Beauty and Personal Care ; Fragrances ; Deodorants ; Combos ; Park Avenue Combos;Non spécifié;Non spécifié;spray four season combo set online;train
e4922f01eda047582cd72e9d1063ab7a;V Creations Bonsai Cactus Artificial Plant  with Pot;e4922f01eda047582cd72e9d1063ab7a.jpg;Home Decor & Festive Needs ; Flowers, Plants & Vases ; Artificial Plants ; V Creations Artificial Plants ; V Creations Bonsai Cactus Artificial Plant  with...;Non spécifié;Non spécifié;creation bonsai artificial plant pot green box sale package set general brand creation model number red color green type bonsai yes pot pot included yes dimension height;train
beaa6285a2b9c66db0e294767711ca3f;Prithish Better Than Having You For A Husband Double Color Ceramic Mug;beaa6285a2b9c66db0e294767711ca3f.jpg;Kitchen & Dining ; Coffee Mugs ; Prithish Coffee Mugs;Non spécifié;Non spécifié;Non spécifié;Non spécifié;prithish better double color ceramic mug 330 225 get talking coffee wide selection cute catchy design mean sure find quote say way mug bring smile forget share mug like make great gift mug beautifully designed quality ink attractive graphic perfect around enjoyment express distinctive coffee mug give freedom broadcast special message holiday cheer love cupcake affordable mug also perfect gifting show others well know break mug bring laugh happy sipping get talking coffee wide selection cute catchy design mean sure find quote say way mug bring smile forget share mug like make great gift mug beautifully designed quality ink attractive graphic perfect around enjoyment express distinctive coffee mug give freedom broadcast special message holiday cheer love cupcake affordable mug also perfect gifting show others well know break mug bring laugh happy sipping;train
cdc33ed715261b08e315a2a19427bc23;Oriflame Sweden Sun Zone UV Protector Face and Exposed Areas High - SPF 50 PA++;cdc33ed715261b08e315a2a19427bc23.jpg;Beauty and Personal Care ; Body and Skin Care ; Face Care ; Sunscreen ; Oriflame Sweden Sunscreen;Non spécifié;Non spécifié;sun zone face area high spf 699 lowest;train
b4d35b6536b623c83b293eb3a1c02bba;RoQ Slim Multimedia 105key Flexible Wired USB Flexible Keyboard;b4d35b6536b623c83b293eb3a1c02bba.jpg;Computers ; Tablet Accessories ; Keyboards ; RoQ Keyboards ; RoQ Slim Multimedia 105key Flexible Wired USB Fl...;Non spécifié;Non spécifié;slim multimedia flexible wired usb flexible keyboard size slim multimedia flexible wired usb flexible keyboard white 399 working fit easily backpack keyboard water help prevent spread suitable place use hospital clean keyboard requirement keyboard easily also good use area factory outdoor good use used keyboard may key get output washable usb plug weight temperature storage temperature slim multimedia flexible wired usb flexible keyboard white general wired usb brand model slim multimedia flexible sale package keyboard type flexible keyboard model name slim multimedia flexible keyboard color white size warranty covered warranty manufacturing damage warranty summary warranty service type covered warranty physical damage;train
f2aaeda52ac1f77c2886af013fded02b;Olvin 1697 SM05 Analog Watch  - For Women;f2aaeda52ac1f77c2886af013fded02b.jpg;Watches ; Wrist Watches ; Olvin Wrist Watches;Non spécifié;Non spécifié;Non spécifié;Non spécifié;analog watch woman analog watch woman online rs.999 india great discount;train
052559ede419996737893eb47568ee7f;Maxima 26512PPGN FIBER COLLECTION Analog Watch  - For Men;052559ede419996737893eb47568ee7f.jpg;Watches ; Wrist Watches ; Maxima Wrist Watches;Non spécifié;Non spécifié;Non spécifié;Non spécifié;maximum fiber collection analog watch men maximum fiber collection analog watch men online india round dial black strap stainless steel back case water resistant buckle clasp great discount;train
0f7a56876c61ba98dfed48ede5d3f3e1;Ruchikainternational ruc0013 Showpiece  -  13 cm;0f7a56876c61ba98dfed48ede5d3f3e1.jpg;Home Decor & Festive Needs ; Showpieces ; Ethnic ; Ruchikainternational Ethnic;Non spécifié;Non spécifié;Non spécifié;showpiece online showpiece best;train
60efd61370e70267dc60b11ff2bf974c;Prithish Abstract Design 40 Ceramic Mug;60efd61370e70267dc60b11ff2bf974c.jpg;Kitchen & Dining ; Coffee Mugs ; Prithish Coffee Mugs;Non spécifié;Non spécifié;Non spécifié;Non spécifié;prithish abstract design ceramic mug rs.175 online prithish abstract design ceramic mug best;train
c7fcd0d983a51283e58b806f065cc920;Diviniti MDF Color Religious Wall Hanging Size 4 Radha Krishna Showpiece  -  36.4 cm;c7fcd0d983a51283e58b806f065cc920.jpg;Home Decor & Festive Needs ; Table Decor & Handicrafts ; Showpieces ; Religious Idols ; Diviniti Religious Idols;Non spécifié;Non spécifié;diviniti mdf color religious wall hanging size radha krishna showpiece online diviniti mdf color religious wall hanging size radha krishna showpiece best;train
c4ac93e194281d6d1450ffdaa52f5f99;Shop Rajasthan Cotton Floral Single Bedsheet;c4ac93e194281d6d1450ffdaa52f5f99.jpg;Home Furnishing ; Bed Linen ; Bedsheets;Non spécifié;Non spécifié;Non spécifié;Non spécifié;shop rajasthan cotton floral single bedsheet 199;train
bcb51cec3d290e6a661586d0df30e091;loomkart Blue Polyester Runner;bcb51cec3d290e6a661586d0df30e091.jpg;Home Furnishing ; Floor Coverings ; Carpets & Rugs ; loomkart Blue Polyester Runner (55 cm  X 147 cm);Non spécifié;Non spécifié;Non spécifié;blue polyester runner general brand shape rectangle type runner design code material polyester pattern abstract style code color blue dimension length inch width inch box number content sale package pack;train
a7bd63ef1d3b345d7f9a162865bb7c0d;Flippd FD040149 Casual Analog Watch  - For Women, Girls;a7bd63ef1d3b345d7f9a162865bb7c0d.jpg;Watches ; Wrist Watches ; Flippd Wrist Watches;Non spécifié;Non spécifié;Non spécifié;Non spécifié;flippd casual analog watch woman girl flippd casual analog watch woman girl online rs.999 india great discount;train
b7214d4c357e3f7acae72fcbe7d31afe;Transcend Premium Memory DDR2 2 GB (1x2GB) PC SDRAM (JM800QLU-2G);b7214d4c357e3f7acae72fcbe7d31afe.jpg;Computers ; Computer Components ; RAMs ; Transcend RAMs ; Transcend Premium Memory DDR2 2 GB (1x2GB) PC SD...;Non spécifié;Non spécifié;premium memory ddr2 green box sale package general pin 240 brand series premium memory memory type ddr2 compatible device check non model memory memory ddr2 memory clock 800 technology gen ddr2 800 memory warranty covered warranty life time warranty service type world wide service center warranty warranty summary life time warranty world covered warranty physical damage;train
dd9a5979c32bbdd836984529af862303;Galaxy Decorations Polyester Royalblue Plain Eyelet Door Curtain;dd9a5979c32bbdd836984529af862303.jpg;Home Furnishing ; Curtains & Accessories ; Curtains;Non spécifié;Non spécifié;Non spécifié;Non spécifié;decoration polyester plain eyelet door curtain;train
17611e6e94d73ef376834e5c6ee03dde;TRUE Bong;17611e6e94d73ef376834e5c6ee03dde.jpg;Home Decor & Festive Needs ; TRUE Home Decor & Festive Needs;Non spécifié;Non spécifié;Non spécifié;Non spécifié;Non spécifié;true online true best;train
0c70a580d96e50966130e2885d8c3505;HuppmeGift Happy Birthday Navneet Inner Red Ceramic  (350ml) Ceramic Mug;0c70a580d96e50966130e2885d8c3505.jpg;Kitchen & Dining ; Coffee Mugs ; HuppmeGift Coffee Mugs ; HuppmeGift Happy Birthday Navneet Inner Red Cera...;Non spécifié;Non spécifié;Non spécifié;happy birthday inner red ceramic ceramic mug pack mug happy birthday inner red ceramic ceramic mug 350 red interior mug grade white red interior ceramic mug high temperature mug famous kitchen utensil office desk used different form paper clip know ice cream mug ... make favorite happy birthday inner red ceramic ceramic mug 350 general type mug mug capacity 350 material ceramic freezer safe yes microwave safe yes dimension weight 350 height width depth box sale package mug;train
11502f02601ff063bf7db0a618354652;Times Times_51 Party-Wedding Analog Watch  - For Women, Girls;11502f02601ff063bf7db0a618354652.jpg;Watches ; Wrist Watches ; Times Wrist Watches;Non spécifié;Non spécifié;Non spécifié;Non spécifié;time party wedding analog watch woman girl 599 time wedding analog pink dial woman watch time wedding analog pink dial woman watch;train
